Season,Rank,Institution,Conference,Accum Attendance,Avg Attendance,Stadium Capacity,Pct Capacity,Games
2018,1,Michigan,Big Ten,"775,156","110,737","107,601",102.91,7
2018,2,Penn St.,Big Ten,"738,396","105,485","106,572",98.98,7
2018,3,Ohio St.,Big Ten,"713,630","101,947","102,329",99.63,7
2018,4,Alabama,SEC,"710,931","101,562","101,821",99.75,7
2018,5,LSU,SEC,"705,733","100,819","102,321",98.53,7
2018,6,Texas A&M,SEC,"698,908","99,844","102,733",97.19,7
2018,7,Tennessee,SEC,"650,887","92,984","102,455",90.76,7
2018,8,Georgia,SEC,"649,222","92,746","92,746",100,7
2018,9,Nebraska,Big Ten,"623,240","89,034","87,091",102.23,7
2018,10,Oklahoma,Big 12,"607,146","86,735","83,489",103.89,7
2018,11,Auburn,SEC,"591,236","84,462","87,451",96.58,7
2018,12,Texas,Big 12,"586,277","97,713","100,119",97.6,6
2018,13,Florida,SEC,"576,299","82,328","88,548",92.98,7
2018,14,Clemson,ACC,"562,799","80,400","81,500",98.65,7
2018,15,Wisconsin,Big Ten,"540,072","77,153","80,321",96.06,7
2018,16,South Carolina,SEC,"515,396","73,628","80,250",91.75,7
2018,17,Michigan St.,Big Ten,"508,088","72,584","75,005",96.77,7
2018,18,Florida St.,ACC,"478,013","68,288","79,560",85.83,7
2018,19,Iowa,Big Ten,"476,302","68,043","70,585",96.4,7
2018,20,Notre Dame,FBS Independent,"465,732","77,622","80,795",96.07,6
2018,21,Virginia Tech,ACC,"417,019","59,574","65,632",90.77,7
2018,22,Washington,Pac-12,"414,405","69,068","70,138",98.47,6
2018,23,Mississippi St.,SEC,"406,401","58,057","61,337",94.65,7
2018,24,NC State,ACC,"397,982","56,855","57,600",98.71,7
2018,25,Iowa St.,Big 12,"392,072","56,010","61,500",91.07,7
2018,26,Ole Miss,SEC,"389,794","55,685","64,038",86.96,7
2018,27,Kentucky,SEC,"385,820","55,117","61,000",90.36,7
2018,28,Oklahoma St.,Big 12,"374,793","53,542","56,790",94.28,7
2018,29,Oregon,Pac-12,"371,114","53,016","54,000",98.18,7
2018,30,Miami (FL),ACC,"368,814","61,469","64,767",94.91,6
2018,31,Arkansas,SEC,"367,748","61,291","72,000",85.13,6
2018,32,Missouri,SEC,"360,261","51,466","60,168",85.54,7
2018,33,UCLA,Pac-12,"358,147","51,164","91,136",56.14,7
2018,34,Purdue,Big Ten,"357,839","51,120","57,236",89.31,7
2018,35,UCF,AAC,"352,148","44,019","44,206",99.58,8
2018,36,Louisville,ACC,"351,755","50,251","55,000",91.36,7
