Rank,Week,Team,ShortTeam
1,17,Alabama,Ala.
1,16,Alabama,Ala.
1,15,Alabama,Ala.
1,14,Alabama,Ala.
1,13,Alabama,Ala.
22,13,Auburn,Aub.
16,17,BYU,BYU
17,16,BYU,BYU
18,15,BYU,BYU
13,14,BYU,BYU
14,13,BYU,BYU
8,17,Cincinnati,Cin.
9,16,Cincinnati,Cin.
8,15,Cincinnati,Cin.
7,14,Cincinnati,Cin.
7,13,Cincinnati,Cin.
2,17,Clemson,Clem.
3,16,Clemson,Clem.
3,15,Clemson,Clem.
3,14,Clemson,Clem.
3,13,Clemson,Clem.
12,17,Coastal Carolina,Cst. Car.
12,16,Coastal Carolina,Cst. Car.
13,15,Coastal Carolina,Cst. Car.
18,14,Coastal Carolina,Cst. Car.
20,13,Coastal Carolina,Cst. Car.
25,16,Colorado,Colo.
21,15,Colorado,Colo.
7,17,Florida,Fla.
7,16,Florida,Fla.
6,15,Florida,Fla.
6,14,Florida,Fla.
6,13,Florida,Fla.
9,17,Georgia,Ga.
8,16,Georgia,Ga.
9,15,Georgia,Ga.
8,14,Georgia,Ga.
9,13,Georgia,Ga.
11,17,Indiana,Ind.
11,16,Indiana,Ind.
12,15,Indiana,Ind.
12,14,Indiana,Ind.
12,13,Indiana,Ind.
15,17,Iowa,Iowa
16,16,Iowa,Iowa
16,15,Iowa,Iowa
19,14,Iowa,Iowa
24,13,Iowa,Iowa
10,17,Iowa State,Ia. St.
6,16,Iowa State,Ia. St.
7,15,Iowa State,Ia. St.
9,14,Iowa State,Ia. St.
13,13,Iowa State,Ia. St.
19,17,Louisiana,La.
19,16,Louisiana,La.
19,15,Louisiana,La.
25,14,Louisiana,La.
21,14,Marshall,Marsh.
21,13,Marshall,Marsh.
18,17,Miami,Mia.
18,16,Miami,Mia.
10,15,Miami,Mia.
10,14,Miami,Mia.
10,13,Miami,Mia.
25,15,Missouri,Miz.
23,17,NC State,NC St.
22,16,NC State,NC St.
23,15,NC State,NC St.
13,17,North Carolina,NC
15,16,North Carolina,NC
17,15,North Carolina,NC
17,14,North Carolina,NC
19,13,North Carolina,NC
14,17,Northwestern,NW
14,16,Northwestern,NW
14,15,Northwestern,NW
14,14,Northwestern,NW
8,13,Northwestern,NW
4,17,Notre Dame,ND
2,16,Notre Dame,ND
2,15,Notre Dame,ND
2,14,Notre Dame,ND
2,13,Notre Dame,ND
3,17,Ohio State,Oh. St
4,16,Ohio State,Oh. St
4,15,Ohio State,Oh. St
4,14,Ohio State,Oh. St
4,13,Ohio State,Oh. St
6,17,Oklahoma,Okla.
10,16,Oklahoma,Okla.
11,15,Oklahoma,Okla.
11,14,Oklahoma,Okla.
11,13,Oklahoma,Okla.
21,17,Oklahoma State,Ok. St.
21,16,Oklahoma State,Ok. St.
22,15,Oklahoma State,Ok. St.
15,14,Oklahoma State,Ok. St.
23,13,Oklahoma State,Ok. St.
25,17,Oregon,Ore.
23,14,Oregon,Ore.
15,13,Oregon,Ore.
22,17,San Jose State,SJ St.
24,16,San Jose State,SJ St.
17,17,Southern California,USC
13,16,Southern California,USC
15,15,Southern California,USC
20,14,Southern California,USC
18,13,Southern California,USC
20,17,Texas,Tex.
20,16,Texas,Tex.
20,15,Texas,Tex.
17,13,Texas,Tex.
5,17,Texas A&M,A&M
5,16,Texas A&M,A&M
5,15,Texas A&M,A&M
5,14,Texas A&M,A&M
5,13,Texas A&M,A&M
24,17,Tulsa,Tulsa
23,16,Tulsa,Tulsa
24,15,Tulsa,Tulsa
24,14,Tulsa,Tulsa
25,13,Tulsa,Tulsa
22,14,Washington,Wash.
16,14,Wisconsin,Wisc.
16,13,Wisconsin,
