Name,OffPoints,OffPointsG,DefPoints,DefPointsG,Pen.,Yards,Pen./G,OffConversions,OffConversionPct,DefConversions,DefConversionPct
Oklahoma,677,48.4,466,33.3,86,855,6.1,71,50.71,71,50.71
Utah State,618,47.5,289,22.2,101,916,7.8,85,46.96,85,46.96
Alabama,684,45.6,271,18.1,87,796,5.8,86,52.12,86,52.12
Clemson,664,44.3,197,13.1,73,674,4.9,93,46.04,93,46.04
Houston,571,43.9,483,37.2,87,683,6.7,89,45.88,89,45.88
UCF,562,43.2,295,22.7,97,848,7.5,88,50.29,88,50.29
Memphis,601,42.9,447,31.9,101,833,7.2,90,47.12,90,47.12
Ohio State,593,42.4,357,25.5,116,1055,8.3,95,46.57,95,46.57
Toledo,525,40.4,397,30.5,99,931,7.6,65,36.93,65,36.93
West Virginia,483,40.3,326,27.2,85,800,7.1,68,43.59,68,43.59
Syracuse,523,40.2,351,27,94,768,7.2,84,39.81,84,39.81
Ohio,521,40.1,320,24.6,64,652,4.9,76,48.72,76,48.72
Oklahoma State,499,38.4,422,32.5,89,917,6.8,87,44.85,87,44.85
Georgia,530,37.9,269,19.2,77,680,5.5,77,47.53,77,47.53
Washington State,488,37.5,303,23.3,86,838,6.6,75,43.35,75,43.35
Appalachian State,485,37.3,201,15.5,83,752,6.4,71,42.01,71,42.01
Texas Tech,448,37.3,373,31.1,96,890,8,86,47.25,86,47.25
Missouri,476,36.6,331,25.5,90,800,6.9,96,46.38,96,46.38
Texas A&M,468,36,329,25.3,80,662,6.2,70,41.18,70,41.18
Boise State,460,35.4,287,22.1,75,695,5.8,106,52.74,106,52.74
Michigan,457,35.2,252,19.4,88,826,6.8,90,48.65,90,48.65
Florida,455,35,260,20,95,789,7.3,72,41.62,72,41.62
Cincinnati,454,34.9,224,17.2,107,958,8.2,96,48.73,96,48.73
Temple,454,34.9,352,27.1,95,911,7.3,72,38.92,72,38.92
Oregon,453,34.8,330,25.4,65,623,5,84,42.86,84,42.86
Fresno State,485,34.6,198,14.1,72,613,5.1,82,44.57,82,44.57
Buffalo,484,34.6,363,25.9,69,572,4.9,84,42.42,84,42.42
Florida International,450,34.6,328,25.2,65,609,5,81,46.82,81,46.82
North Texas,450,34.6,314,24.2,57,644,4.4,66,37.29,66,37.29
Mississippi,407,33.9,434,36.2,88,802,7.3,55,35.26,55,35.26
North Carolina State,440,33.8,324,24.9,60,581,4.6,87,47.28,87,47.28
Penn State,439,33.8,267,20.5,61,551,4.7,65,37.14,65,37.14
Georgia Tech,437,33.6,381,29.3,49,472,3.8,72,43.9,72,43.9
