Institution name,Primary Conference in Actual Year,Cohort year,Gender,Number of completers,Total
University of Hartford,America East Conference,1998,Men,254,587
University of Hartford,America East Conference,1998,Women,333,587
"University of Maine, Orono",America East Conference,1998,Men,359,753
"University of Maine, Orono",America East Conference,1998,Women,394,753
"University of Maryland, Baltimore County",America East Conference,1998,Men,315,685
"University of Maryland, Baltimore County",America East Conference,1998,Women,370,685
Boston University,America East Conference,1998,Men,1116,3133
Boston University,America East Conference,1998,Women,2017,3133
Northeastern University,America East Conference,1998,Men,811,1674
Northeastern University,America East Conference,1998,Women,863,1674
University of New Hampshire,America East Conference,1998,Men,584,1474
University of New Hampshire,America East Conference,1998,Women,890,1474
Binghamton University,America East Conference,1998,Men,619,1542
Binghamton University,America East Conference,1998,Women,923,1542
Stony Brook University,America East Conference,1998,Men,577,1219
Stony Brook University,America East Conference,1998,Women,642,1219
University of Vermont,America East Conference,1998,Men,490,1183
University of Vermont,America East Conference,1998,Women,693,1183
University of Hartford,America East Conference,1999,Men,377,758
University of Hartford,America East Conference,1999,Women,381,758
"University of Maine, Orono",America East Conference,1999,Men,391,802
"University of Maine, Orono",America East Conference,1999,Women,411,802
"University of Maryland, Baltimore County",America East Conference,1999,Men,395,804
"University of Maryland, Baltimore County",America East Conference,1999,Women,409,804
Boston University,America East Conference,1999,Men,1259,3255
Boston University,America East Conference,1999,Women,1996,3255
University of New Hampshire,America East Conference,1999,Men,702,1837
University of New Hampshire,America East Conference,1999,Women,1135,1837
University at Albany,America East Conference,1999,Men,658,1403
University at Albany,America East Conference,1999,Women,745,1403
Binghamton University,America East Conference,1999,Men,667,1573
Binghamton University,America East Conference,1999,Women,906,1573
Stony Brook University,America East Conference,1999,Men,614,1322
Stony Brook University,America East Conference,1999,Women,708,1322
University of Vermont,America East Conference,1999,Men,515,1179
University of Vermont,America East Conference,1999,Women,664,1179
University of Hartford,America East Conference,2000,Men,311,652
University of Hartford,America East Conference,2000,Women,341,652
"University of Maine, Orono",America East Conference,2000,Men,444,933
"University of Maine, Orono",America East Conference,2000,Women,489,933
"University of Maryland, Baltimore County",America East Conference,2000,Men,359,733
"University of Maryland, Baltimore County",America East Conference,2000,Women,374,733
Boston University,America East Conference,2000,Men,1251,3357
Boston University,America East Conference,2000,Women,2106,3357
University of New Hampshire,America East Conference,2000,Men,735,1895
University of New Hampshire,America East Conference,2000,Women,1160,1895
University at Albany,America East Conference,2000,Men,662,1398
University at Albany,America East Conference,2000,Women,736,1398
Binghamton University,America East Conference,2000,Men,630,1528
Binghamton University,America East Conference,2000,Women,898,1528
Stony Brook University,America East Conference,2000,Men,674,1354
Stony Brook University,America East Conference,2000,Women,680,1354
University of Vermont,America East Conference,2000,Men,489,1183
University of Vermont,America East Conference,2000,Women,694,1183
University of Hartford,America East Conference,2001,Men,360,759
University of Hartford,America East Conference,2001,Women,399,759
"University of Maine, Orono",America East Conference,2001,Men,459,911
"University of Maine, Orono",America East Conference,2001,Women,452,911
"University of Maryland, Baltimore County",America East Conference,2001,Men,405,806
"University of Maryland, Baltimore County",America East Conference,2001,Women,401,806
Boston University,America East Conference,2001,Men,1074,2938
Boston University,America East Conference,2001,Women,1864,2938
University of New Hampshire,America East Conference,2001,Men,751,1837
University of New Hampshire,America East Conference,2001,Women,1086,1837
University at Albany,America East Conference,2001,Men,688,1408
University at Albany,America East Conference,2001,Women,720,1408
Binghamton University,America East Conference,2001,Men,782,1720
Binghamton University,America East Conference,2001,Women,938,1720
Stony Brook University,America East Conference,2001,Men,648,1304
Stony Brook University,America East Conference,2001,Women,656,1304
University of Vermont,America East Conference,2001,Men,537,1314
University of Vermont,America East Conference,2001,Women,777,1314
University of Hartford,America East Conference,2002,Men,346,716
University of Hartford,America East Conference,2002,Women,370,716
"University of Maine, Orono",America East Conference,2002,Men,490,978
"University of Maine, Orono",America East Conference,2002,Women,488,978
"University of Maryland, Baltimore County",America East Conference,2002,Men,440,806
"University of Maryland, Baltimore County",America East Conference,2002,Women,366,806
Boston University,America East Conference,2002,Men,1437,3650
Boston University,America East Conference,2002,Women,2213,3650
University of New Hampshire,America East Conference,2002,Men,824,1916
University of New Hampshire,America East Conference,2002,Women,1092,1916
University at Albany,America East Conference,2002,Men,650,1450
University at Albany,America East Conference,2002,Women,800,1450
Binghamton University,America East Conference,2002,Men,806,1627
Binghamton University,America East Conference,2002,Women,821,1627
Stony Brook University,America East Conference,2002,Men,713,1470
Stony Brook University,America East Conference,2002,Women,757,1470
University of Vermont,America East Conference,2002,Men,551,1301
University of Vermont,America East Conference,2002,Women,750,1301
University of Hartford,America East Conference,2003,Men,367,852
University of Hartford,America East Conference,2003,Women,485,852
"University of Maine, Orono",America East Conference,2003,Men,442,931
"University of Maine, Orono",America East Conference,2003,Women,489,931
"University of Maryland, Baltimore County",America East Conference,2003,Men,431,878
"University of Maryland, Baltimore County",America East Conference,2003,Women,447,878
Boston University,America East Conference,2003,Men,1299,3257
Boston University,America East Conference,2003,Women,1958,3257
University of New Hampshire,America East Conference,2003,Men,778,1967
University of New Hampshire,America East Conference,2003,Women,1189,1967
University at Albany,America East Conference,2003,Men,639,1394
University at Albany,America East Conference,2003,Women,755,1394
Binghamton University,America East Conference,2003,Men,874,1836
Binghamton University,America East Conference,2003,Women,962,1836
Stony Brook University,America East Conference,2003,Men,708,1449
Stony Brook University,America East Conference,2003,Women,741,1449
University of Vermont,America East Conference,2003,Men,597,1400
University of Vermont,America East Conference,2003,Women,803,1400
University of Hartford,America East Conference,2004,Men,454,898
University of Hartford,America East Conference,2004,Women,444,898
"University of Maine, Orono",America East Conference,2004,Men,453,919
"University of Maine, Orono",America East Conference,2004,Women,466,919
"University of Maryland, Baltimore County",America East Conference,2004,Men,445,804
"University of Maryland, Baltimore County",America East Conference,2004,Women,359,804
Boston University,America East Conference,2004,Men,1394,3603
Boston University,America East Conference,2004,Women,2209,3603
University of New Hampshire,America East Conference,2004,Men,752,1905
University of New Hampshire,America East Conference,2004,Women,1153,1905
University at Albany,America East Conference,2004,Men,630,1344
University at Albany,America East Conference,2004,Women,714,1344
Binghamton University,America East Conference,2004,Men,878,1679
Binghamton University,America East Conference,2004,Women,801,1679
Stony Brook University,America East Conference,2004,Men,646,1384
Stony Brook University,America East Conference,2004,Women,738,1384
University of Vermont,America East Conference,2004,Men,649,1496
University of Vermont,America East Conference,2004,Women,847,1496
University of Hartford,America East Conference,2005,Men,362,807
University of Hartford,America East Conference,2005,Women,445,807
"University of Maine, Orono",America East Conference,2005,Men,502,1029
"University of Maine, Orono",America East Conference,2005,Women,527,1029
"University of Maryland, Baltimore County",America East Conference,2005,Men,439,811
"University of Maryland, Baltimore County",America East Conference,2005,Women,372,811
Boston University,America East Conference,2005,Men,1416,3567
Boston University,America East Conference,2005,Women,2151,3567
University of New Hampshire,America East Conference,2005,Men,909,2122
University of New Hampshire,America East Conference,2005,Women,1213,2122
University at Albany,America East Conference,2005,Men,810,1642
University at Albany,America East Conference,2005,Women,832,1642
Binghamton University,America East Conference,2005,Men,792,1588
Binghamton University,America East Conference,2005,Women,796,1588
Stony Brook University,America East Conference,2005,Men,775,1679
Stony Brook University,America East Conference,2005,Women,904,1679
University of Vermont,America East Conference,2005,Men,772,1720
University of Vermont,America East Conference,2005,Women,948,1720
University of Hartford,America East Conference,2006,Men,344,741
University of Hartford,America East Conference,2006,Women,397,741
"University of Maine, Orono",America East Conference,2006,Men,527,1071
"University of Maine, Orono",America East Conference,2006,Women,544,1071
"University of Maryland, Baltimore County",America East Conference,2006,Men,444,859
"University of Maryland, Baltimore County",America East Conference,2006,Women,415,859
Boston University,America East Conference,2006,Men,1289,3453
Boston University,America East Conference,2006,Women,2164,3453
University of New Hampshire,America East Conference,2006,Men,949,2363
University of New Hampshire,America East Conference,2006,Women,1414,2363
University at Albany,America East Conference,2006,Men,764,1554
University at Albany,America East Conference,2006,Women,790,1554
Binghamton University,America East Conference,2006,Men,903,1841
Binghamton University,America East Conference,2006,Women,938,1841
Stony Brook University,America East Conference,2006,Men,904,1887
Stony Brook University,America East Conference,2006,Women,983,1887
University of Vermont,America East Conference,2006,Men,681,1649
University of Vermont,America East Conference,2006,Women,968,1649
University of Hartford,America East Conference,2007,Men,383,856
University of Hartford,America East Conference,2007,Women,473,856
"University of Maine, Orono",America East Conference,2007,Men,515,1009
"University of Maine, Orono",America East Conference,2007,Women,494,1009
"University of Maryland, Baltimore County",America East Conference,2007,Men,458,919
"University of Maryland, Baltimore County",America East Conference,2007,Women,461,919
University of Massachusetts Lowell,America East Conference,2007,Men,398,662
University of Massachusetts Lowell,America East Conference,2007,Women,264,662
University of New Hampshire,America East Conference,2007,Men,853,2089
University of New Hampshire,America East Conference,2007,Women,1236,2089
University at Albany,America East Conference,2007,Men,787,1670
University at Albany,America East Conference,2007,Women,883,1670
Binghamton University,America East Conference,2007,Men,914,1789
Binghamton University,America East Conference,2007,Women,875,1789
Stony Brook University,America East Conference,2007,Men,889,1819
Stony Brook University,America East Conference,2007,Women,930,1819
University of Vermont,America East Conference,2007,Men,813,1844
University of Vermont,America East Conference,2007,Women,1031,1844
University of Hartford,America East Conference,2008,Men,366,760
University of Hartford,America East Conference,2008,Women,394,760
"University of Maine, Orono",America East Conference,2008,Men,551,1152
"University of Maine, Orono",America East Conference,2008,Women,601,1152
"University of Maryland, Baltimore County",America East Conference,2008,Men,494,950
"University of Maryland, Baltimore County",America East Conference,2008,Women,456,950
University of Massachusetts Lowell,America East Conference,2008,Men,493,825
University of Massachusetts Lowell,America East Conference,2008,Women,332,825
University of New Hampshire,America East Conference,2008,Men,845,2057
University of New Hampshire,America East Conference,2008,Women,1212,2057
University at Albany,America East Conference,2008,Men,750,1583
University at Albany,America East Conference,2008,Women,833,1583
Binghamton University,America East Conference,2008,Men,1003,1956
Binghamton University,America East Conference,2008,Women,953,1956
Stony Brook University,America East Conference,2008,Men,1007,1972
