Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Steven Adams,C,26,OKC,58,1564,20.8,0.605,0.007,0.413,14.4,23.8,19.3,13.5,1.6,3.5,14.1,17.2,3.7,2.5,6.2,0.19,2.1,1.1,3.2,2
2,Bam Adebayo,PF,22,MIA,65,2235,20.6,0.606,0.018,0.476,8.7,25,17.2,23.6,1.7,3.8,17.5,20.8,4.6,3.6,8.1,0.175,1.6,2.1,3.6,3.2
3,LaMarcus Aldridge,C,34,SAS,53,1754,19.8,0.571,0.198,0.241,6.3,17.8,12,11.4,1,4.4,7.8,23.6,3.1,1.4,4.4,0.122,1.8,-0.5,1.3,1.5
4,Nickeil Alexander-Walker,SG,21,NOP,41,501,7.6,0.441,0.515,0.123,1.7,15.2,8.4,20.3,1,1.2,14.3,22.8,-0.7,0.4,-0.4,-0.034,-3.5,-1.4,-4.9,-0.4
5,Grayson Allen,SG,24,MEM,30,498,11.4,0.577,0.517,0.199,1.1,12.6,7,11.8,0.6,0.2,10.7,17.9,0.5,0.3,0.7,0.07,-1,-1.5,-2.6,-0.1
6,Jarrett Allen,C,21,BRK,64,1647,20.3,0.658,0.012,0.574,12.5,25,18.9,7.8,1.1,4.3,12.2,15,4.3,2.8,7.1,0.207,1,1.1,2.1,1.7
7,Kadeem Allen,SG,27,NYK,10,117,14,0.512,0.364,0.25,1.8,6.6,4.1,27,2.1,1.6,14.1,20.6,0.1,0.1,0.1,0.053,0,-0.6,-0.6,0
8,Al-Farouq Aminu,PF,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.016,-4.5,1.4,-3.1,-0.1
9,Justin Anderson,SF,26,BRK,3,17,-3.8,0.218,0.5,0.333,0,11.8,6.1,0,0,4.9,0,16.9,-0.1,0,-0.1,-0.167,-12.8,-2.3,-15.1,-0.1
10,Kyle Anderson,PF,26,MEM,59,1140,13,0.542,0.221,0.236,5.1,18.3,11.8,15.1,1.9,2.4,15.1,13.3,0.9,1.4,2.2,0.095,-1.3,1.9,0.6,0.7
11,Ryan Anderson,PF,31,HOU,2,14,9.5,0.357,0.714,0,0,52.8,26.2,20.1,3.3,0,12.5,23.6,0,0,0,-0.031,-4.1,0.7,-3.4,0
12,Giannis Antetokounmpo,PF,25,MIL,57,1763,31.6,0.608,0.238,0.5,7.8,34.5,22,33.9,1.5,2.9,13.1,37.4,5.6,4.8,10.4,0.282,7.4,4.1,11.5,6
13,Kostas Antetokounmpo,PF,22,LAL,3,5,8.6,NA,NA,NA,0,21.3,10.9,22.4,0,0,NA,0,0,0,0,0.136,1.2,3.1,4.3,0
14,Thanasis Antetokounmpo,SF,27,MIL,18,93,14.2,0.528,0.194,0.417,12.4,8,10.1,13.8,2.9,1.9,20.5,23.8,0,0.2,0.2,0.083,-4,1.7,-2.3,0
15,Carmelo Anthony,PF,35,POR,50,1623,12.2,0.517,0.286,0.197,4,15.8,10,7,1.2,1.2,10.5,21.6,0.1,0.9,1,0.029,-1.9,-1.8,-3.7,-0.7
16,OG Anunoby,SF,22,TOR,63,1897,13.2,0.598,0.408,0.163,4.2,14.6,9.5,7.5,2.2,2.1,11.7,14.4,1.8,3.3,5.1,0.13,-0.9,1.8,0.9,1.4
17,Ryan Arcidiacono,PG,25,CHI,58,930,9,0.551,0.627,0.173,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,0.7,0.7,1.4,0.07,-2.7,-0.1,-2.8,-0.2
18,Trevor Ariza,SF,34,TOT,53,1493,11,0.593,0.639,0.228,2.5,15.6,9,8.1,2.2,0.9,13.6,11.9,1.3,1.3,2.6,0.084,-1.5,0.9,-0.5,0.6
18,Trevor Ariza,SF,34,SAC,32,791,9.4,0.543,0.739,0.164,2.9,18.3,10.4,8.4,2.2,0.8,13.7,11.3,0.3,0.8,1.1,0.069,-1.9,1.3,-0.6,0.3
18,Trevor Ariza,SF,34,POR,21,702,12.8,0.643,0.535,0.296,1.9,12.6,7.4,7.7,2.3,1,13.5,12.6,1,0.5,1.5,0.101,-1,0.5,-0.5,0.3
19,D.J. Augustin,PG,32,ORL,49,1215,14.2,0.548,0.438,0.395,1.5,8.3,4.8,26.7,1.2,0.1,12.9,19.1,1.8,0.8,2.6,0.101,-0.3,-1,-1.4,0.2
20,Deandre Ayton,C,21,PHO,30,996,20.4,0.571,0.006,0.168,13.5,27,20.1,9.7,1,4.5,12.4,24.3,1.1,1.3,2.4,0.117,0.8,-0.4,0.5,0.6
21,Dwayne Bacon,SG,24,CHO,39,687,6.1,0.419,0.275,0.217,2.3,14,7.9,11.7,1.7,0.3,12.2,19.5,-1.2,0.4,-0.8,-0.053,-5.9,-0.9,-6.8,-0.8
22,Marvin Bagley III,PF,20,SAC,13,334,15.7,0.512,0.132,0.186,9.5,23.6,16.4,5,0.9,3.4,9.1,25.9,0,0.4,0.4,0.055,-2.1,-1.3,-3.4,-0.1
23,Lonzo Ball,PG,22,NOP,56,1817,13.7,0.529,0.578,0.107,3.6,16.6,10.1,29.3,2,1.4,20.7,18.6,0.7,1.9,2.6,0.068,0.4,0.6,1,1.3
24,Mo Bamba,C,21,ORL,60,868,17.8,0.549,0.369,0.163,11.7,25.7,18.5,7.3,1.2,8.9,12.2,17.2,0.9,1.7,2.5,0.14,-1.1,1.7,0.5,0.6
25,J.J. Barea,PG,35,DAL,26,391,14.9,0.519,0.425,0.101,2.7,10,6.4,37.7,0.5,0.4,15.8,24.3,0.5,0.2,0.7,0.084,1.8,-2.7,-1,0.1
26,Harrison Barnes,PF,27,SAC,64,2231,13.3,0.575,0.342,0.343,3,12.7,7.7,9.9,0.8,0.4,8.9,17.6,3.1,1.1,4.2,0.091,0,-1.2,-1.2,0.5
27,RJ Barrett,SG,19,NYK,56,1704,10.7,0.479,0.271,0.349,3,14.8,8.7,12.8,1.6,0.9,12.9,24,-1.6,1.1,-0.5,-0.015,-2.8,-1.5,-4.3,-1
28,Will Barton,SF,29,DEN,58,1916,15.7,0.549,0.39,0.18,4.4,16.8,10.6,16,1.6,1.4,9.9,20,2.4,2.1,4.5,0.113,1.2,-0.1,1.2,1.5
29,Keita Bates-Diop,SF,24,TOT,39,665,12.6,0.541,0.452,0.332,3.2,15,8.9,6.5,1.2,2.6,5.5,15.6,0.6,0.5,1.1,0.081,-0.8,-0.1,-0.8,0.2
29,Keita Bates-Diop,SF,24,MIN,37,646,12.5,0.535,0.456,0.316,3.3,15.1,9,6.7,1.2,2.6,5.6,15.8,0.6,0.5,1,0.076,-0.8,-0.1,-0.9,0.2
29,Keita Bates-Diop,SF,24,DEN,2,19,15.8,0.931,0,2,0,11.7,5.9,0,0,4.8,0,8.6,0.1,0,0.1,0.218,0,0.1,0,0
