Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G,Year
Oklahoma,14,89,17,88,1,1,677,48.4,2018
Utah State,13,79,22,78,0,0,618,47.5,2018
Alabama,15,92,15,83,0,2,684,45.6,2018
Clemson,15,90,12,88,0,0,664,44.3,2018
Houston,13,78,8,75,2,0,571,43.9,2018
UCF,13,75,12,74,1,0,562,43.2,2018
Memphis,14,80,15,76,0,0,601,42.9,2018
Ohio State,14,79,13,76,0,2,593,42.4,2018
Toledo,13,69,15,64,1,0,525,40.4,2018
West Virginia,12,62,16,59,1,1,483,40.3,2018
Syracuse,13,62,30,61,0,0,523,40.2,2018
Ohio,13,69,13,68,0,0,521,40.1,2018
Oklahoma State,13,65,16,61,0,0,499,38.4,2018
Georgia,14,68,19,65,0,0,530,37.9,2018
Washington State,13,66,10,60,1,0,488,37.5,2018
Appalachian State,13,64,12,63,0,1,485,37.3,2018
Texas Tech,12,57,17,55,0,0,448,37.3,2018
Missouri,13,58,25,51,1,0,476,36.6,2018
Texas A&M,13,57,23,51,3,0,468,36,2018
Boise State,13,61,12,58,0,0,460,35.4,2018
Michigan,13,56,21,50,2,2,457,35.2,2018
Florida,13,57,18,55,1,1,455,35,2018
Cincinnati,13,63,5,59,0,1,454,34.9,2018
Temple,13,60,12,56,1,0,454,34.9,2018
Oregon,13,62,6,57,2,1,453,34.8,2018
Fresno State,14,64,14,57,1,0,485,34.6,2018
Buffalo,14,66,10,54,2,0,484,34.6,2018
Florida International,13,58,14,54,3,0,450,34.6,2018
North Texas,13,57,19,51,0,0,450,34.6,2018
Mississippi,12,49,22,47,0,0,407,33.9,2018
North Carolina State,13,53,23,51,1,0,440,33.8,2018
Penn State,13,56,16,53,0,1,439,33.8,2018
Georgia Tech,13,58,10,53,2,1,437,33.6,2018
Liberty,12,54,7,50,2,0,399,33.3,2018
Wake Forest,13,53,19,52,0,0,427,32.8,2018
Army,13,57,9,57,0,0,426,32.8,2018
Massachusetts,12,52,11,49,0,0,394,32.8,2018
LSU,13,48,29,42,2,0,421,32.4,2018
Western Michigan,13,55,11,47,3,0,416,32,2018
Boston College,12,53,6,46,1,0,384,32,2018
Louisiana-Lafayette,14,58,15,54,0,0,447,31.9,2018
Notre Dame,13,51,18,46,1,0,408,31.4,2018
Arizona,12,46,19,39,0,2,376,31.3,2018
Iowa,13,50,17,48,0,3,405,31.2,2018
Texas,14,54,18,51,1,2,435,31.1,2018
Nevada,13,52,15,43,1,1,404,31.1,2018
Florida Atlantic,12,50,10,39,2,0,373,31.1,2018
Auburn,13,51,15,49,0,1,402,30.9,2018
Hawai'i,14,55,15,46,5,0,431,30.8,2018
Old Dominion,12,47,14,40,2,1,370,30.8,2018
Troy,13,49,18,45,2,1,399,30.7,2018
Purdue,13,49,19,44,1,0,397,30.5,2018
Georgia Southern,13,48,19,45,2,1,396,30.5,2018
SMU,12,47,11,40,3,2,365,30.4,2018
Arkansas State,13,50,14,42,3,2,394,30.3,2018
Air Force,12,47,10,41,3,2,363,30.3,2018
South Carolina,13,50,13,46,3,0,391,30.1,2018
Nebraska,12,45,14,40,3,1,360,30,2018
UAB,14,53,15,51,0,2,418,29.9,2018
Arizona State,13,48,18,45,1,0,389,29.9,2018
Virginia Tech,13,50,12,48,2,0,388,29.8,2018
Wisconsin,13,51,10,48,1,0,386,29.7,2018
Baylor,13,49,15,43,1,0,384,29.5,2018
Duke,13,51,9,49,0,0,382,29.4,2018
Minnesota,13,46,17,43,2,1,376,28.9,2018
Miami (Florida),13,50,9,47,0,0,374,28.8,2018
UNLV,12,47,6,41,1,1,345,28.8,2018
Mississippi State,13,48,12,47,0,0,371,28.5,2018
Vanderbilt,13,47,13,47,0,1,370,28.5,2018
South Florida,13,46,17,39,1,1,370,28.5,2018
Virginia,13,46,15,45,2,0,370,28.5,2018
Maryland,12,44,12,40,1,0,342,28.5,2018
Stanford,13,46,15,42,2,1,369,28.4,2018
Marshall,13,46,15,44,0,1,367,28.2,2018
Utah,14,45,26,45,0,0,393,28.1,2018
Miami (Ohio),12,44,10,41,0,1,337,28.1,2018
Middle Tennessee,14,49,18,40,2,0,392,28,2018
North Carolina,11,35,18,33,2,0,301,27.4,2018
BYU,13,46,11,43,1,0,354,27.2,2018
Colorado,12,42,11,40,0,0,325,27.1,2018
Eastern Michigan,13,45,12,41,2,0,351,27,2018
Tulane,13,45,10,41,2,2,349,26.8,2018
Iowa State,13,42,16,36,3,3,348,26.8,2018
Coastal Carolina,12,41,13,35,0,0,320,26.7,2018
Kentucky,13,46,9,43,0,0,346,26.6,2018
New Mexico,12,43,7,34,2,1,319,26.6,2018
Louisiana-Monroe,12,42,9,38,1,0,319,26.6,2018
Washington,14,46,16,43,1,0,369,26.4,2018
Indiana,12,39,15,32,3,0,317,26.4,2018
Southern Mississippi,11,34,18,30,0,0,288,26.2,2018
Oregon State,12,40,12,35,1,0,313,26.1,2018
USC,12,39,13,38,1,0,313,26.1,2018
Illinois,12,36,20,36,0,0,312,26,2018
Pittsburgh,14,46,13,40,1,1,359,25.6,2018
New Mexico State,12,38,12,37,1,0,303,25.3,2018
Navy,13,42,11,34,3,0,325,25,2018
Louisiana Tech,13,39,15,38,0,2,321,24.7,2018
UCLA,12,36,14,35,0,1,295,24.6,2018
Bowling Green,12,39,6,34,3,0,292,24.3,2018
Northwestern,14,44,10,39,3,0,339,24.2,2018
South Alabama,12,38,9,31,2,0,290,24.2,2018
Ball State,12,37,11,35,0,0,290,24.2,2018
Tulsa,12,36,12,35,1,0,289,24.1,2018
Georgia State,12,38,9,28,2,0,287,23.9,2018
Kent State,12,35,14,33,0,1,287,23.9,2018
Kansas,12,35,12,30,4,1,286,23.8,2018
TCU,13,38,13,37,0,1,306,23.5,2018
Colorado State,12,35,11,29,1,0,274,22.8,2018
Tennessee,12,35,10,31,1,0,273,22.8,2018
East Carolina,12,31,19,28,1,0,273,22.8,2018
Kansas State,12,32,15,29,1,1,270,22.5,2018
Connecticut,12,36,6,32,0,0,266,22.2,2018
Florida State,12,33,11,30,1,0,263,21.9,2018
Charlotte,12,30,17,27,1,0,260,21.7,2018
Arkansas,12,29,19,29,0,0,260,21.7,2018
California,13,35,12,32,0,1,280,21.5,2018
San Jose State,12,31,14,25,0,1,255,21.3,2018
Western Kentucky,12,32,10,27,1,1,253,21.1,2018
Wyoming,12,28,16,28,0,2,248,20.7,2018
San Diego State,13,31,17,27,2,0,268,20.6,2018
Northern Illinois,14,35,13,29,2,0,282,20.1,2018
