Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cameron Mack,1,1,32,4,13,0.308,2,8,0.25,2,5,0.4,1,2,0.5,3,6,9,3,0,0,2,1,11
2,Matej Kavas,1,0,25,3,5,0.6,1,2,0.5,2,3,0.667,2,3,0.667,0,1,1,1,0,0,1,1,10
3,Yvan Ouedraogo,1,1,21,4,6,0.667,4,6,0.667,0,0,,1,4,0.25,0,3,3,1,2,1,1,1,9
4,Dachon Burke,1,1,23,2,7,0.286,2,4,0.5,0,3,0,3,4,0.75,0,2,2,0,1,1,2,0,7
5,Jervay Green,1,1,33,2,9,0.222,1,4,0.25,1,5,0.2,0,2,0,1,1,2,2,2,3,3,5,5
6,Kevin Cross,1,0,14,1,10,0.1,0,4,0,1,6,0.167,1,2,0.5,3,0,3,0,0,0,0,2,4
7,Haanif Cheatham,1,1,26,0,3,0,0,1,0,0,2,0,1,2,0.5,0,2,2,3,1,0,1,0,1
8,Akol Arop,1,0,1,0,1,0,0,0,,0,1,0,0,0,,0,1,1,0,0,0,0,0,0
9,Samari Curtis,1,0,9,0,1,0,0,0,,0,1,0,0,0,,0,0,0,1,0,1,0,1,0
10,Charlie Easley,1,0,1,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0
11,Thorir Thorbjarnarson,1,0,15,0,0,,0,0,,0,0,,0,0,,1,3,4,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
