Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Blank,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,season
1,Abilene Christian,22,12,10,0.545,-4.33,-4.66,7,4,9,2,3,8,1649,1423,NA,895,571,1306,0.437,148,492,0.301,359,483,0.743,253,745,329,205,55,312,461,2019-2020
2,Air Force,23,9,14,0.391,-0.3,1.97,3,8,6,5,3,6,1707,1700,NA,920,572,1254,0.456,201,530,0.379,362,482,0.751,165,746,329,116,37,282,382,2019-2020
3,Akron,22,16,6,0.727,8.17,-0.38,6,3,10,2,5,3,1690,1452,NA,880,576,1286,0.448,218,558,0.391,320,413,0.775,223,824,311,109,65,297,376,2019-2020
4,Alabama A&M,20,5,15,0.25,-17.23,-6.38,2,7,4,3,1,11,1271,1488,NA,805,462,1214,0.381,112,406,0.276,235,331,0.71,202,690,220,121,40,231,349,2019-2020
5,Alabama-Birmingham,23,14,9,0.609,-0.53,-1.01,5,5,8,4,4,5,1505,1450,NA,920,555,1247,0.445,116,374,0.31,279,399,0.699,254,869,230,128,67,343,371,2019-2020
6,Alabama State,22,5,17,0.227,-15.18,-3.05,4,5,3,1,0,13,1338,1605,NA,880,471,1208,0.39,144,464,0.31,252,398,0.633,180,675,228,130,38,332,435,2019-2020
7,Alabama,22,12,10,0.545,12.43,7.93,4,5,8,3,2,5,1795,1696,NA,890,606,1374,0.441,226,647,0.349,357,503,0.71,245,893,304,141,105,347,440,2019-2020
8,Albany (NY),24,13,11,0.542,-6.66,-6.23,6,3,7,4,4,7,1642,1626,NA,965,551,1317,0.418,194,568,0.342,346,486,0.712,193,836,318,133,67,334,408,2019-2020
9,Alcorn State,20,10,10,0.5,-12.12,-6.5,6,3,7,1,3,9,1551,1456,NA,805,545,1260,0.433,194,505,0.384,267,353,0.756,240,768,283,170,63,286,358,2019-2020
10,American,22,11,11,0.5,-6.05,-5.59,7,4,6,3,5,8,1569,1579,NA,885,581,1276,0.455,154,455,0.338,253,358,0.707,190,706,286,161,72,276,389,2019-2020
11,Appalachian State,23,12,11,0.522,-0.8,-0.08,6,6,6,3,5,7,1598,1554,NA,925,554,1266,0.438,156,485,0.322,334,505,0.661,230,821,266,170,54,313,367,2019-2020
12,Arizona State,21,13,8,0.619,10.9,7.14,4,4,8,2,4,3,1534,1455,NA,840,554,1305,0.425,143,469,0.305,283,416,0.68,215,777,232,167,73,280,395,2019-2020
13,Arizona,22,16,6,0.727,21.47,7.38,6,3,11,1,2,4,1760,1450,NA,885,621,1324,0.469,163,447,0.365,355,487,0.729,233,840,355,147,83,262,398,2019-2020
14,Little Rock,24,17,7,0.708,2.79,-1.3,11,2,10,2,7,5,1728,1616,NA,960,605,1283,0.472,146,422,0.346,372,528,0.705,242,860,357,174,85,391,442,2019-2020
15,Arkansas-Pine Bluff,21,3,18,0.143,-20.55,-2.8,2,7,1,4,2,14,1103,1450,NA,840,406,1022,0.397,82,285,0.288,209,349,0.599,173,642,196,159,69,381,414,2019-2020
16,Arkansas State,24,15,9,0.625,-1.97,-0.97,7,6,10,5,5,4,1698,1693,NA,970,553,1255,0.441,138,397,0.348,454,644,0.705,228,781,347,166,70,307,491,2019-2020
17,Arkansas,22,16,6,0.727,15.43,6.02,4,5,11,3,4,3,1643,1436,NA,895,569,1282,0.444,163,513,0.318,342,475,0.72,163,720,269,193,90,261,416,2019-2020
18,Army,22,11,11,0.5,-9.82,-6.39,6,5,5,5,6,6,1559,1594,NA,885,608,1262,0.482,158,483,0.327,185,307,0.603,145,732,364,121,34,279,333,2019-2020
19,Auburn,22,20,2,0.909,15.99,5.71,7,2,12,0,4,2,1739,1513,NA,900,581,1323,0.439,178,576,0.309,399,591,0.675,299,909,291,138,115,292,412,2019-2020
20,Austin Peay,24,16,8,0.667,0.11,-3.8,10,1,11,0,4,7,1869,1721,NA,960,656,1406,0.467,170,479,0.355,387,528,0.733,278,833,325,168,76,304,437,2019-2020
21,Ball State,22,13,9,0.591,5.28,-1.44,6,3,7,3,4,4,1540,1355,NA,880,546,1281,0.426,198,600,0.33,250,378,0.661,207,797,304,157,79,282,335,2019-2020
22,Baylor,21,20,1,0.952,20.16,6.39,9,0,10,0,6,0,1516,1227,NA,840,540,1251,0.432,164,464,0.353,272,386,0.705,280,806,292,168,97,249,338,2019-2020
23,Belmont,23,16,7,0.696,4.1,-6.58,7,3,8,1,8,5,1874,1590,NA,920,703,1478,0.476,240,662,0.363,228,320,0.713,213,897,437,158,75,286,358,2019-2020
24,Bethune-Cookman,22,10,12,0.455,-10.42,-6.47,4,4,5,1,3,11,1658,1629,NA,880,583,1348,0.432,132,407,0.324,360,507,0.71,254,838,269,158,58,335,444,2019-2020
25,Binghamton,22,8,14,0.364,-15.57,-4.32,2,7,6,4,2,10,1515,1666,NA,885,550,1334,0.412,210,636,0.33,205,292,0.702,222,785,259,104,74,292,349,2019-2020
26,Boise State,24,16,8,0.667,8.57,3.14,8,4,11,1,3,6,1885,1683,NA,985,638,1384,0.461,209,581,0.36,400,532,0.752,193,822,314,140,35,299,402,2019-2020
27,Boston College,23,11,12,0.478,2.76,6.59,5,7,7,7,3,5,1480,1568,NA,920,532,1319,0.403,151,511,0.295,265,407,0.651,211,770,278,194,64,319,369,2019-2020
28,Boston University,24,14,10,0.583,-1.26,-4.82,8,3,7,2,7,6,1744,1634,NA,970,664,1424,0.466,164,499,0.329,252,383,0.658,236,854,310,141,45,274,366,2019-2020
29,Bowling Green State,23,17,6,0.739,0.69,-0.83,8,2,10,1,4,2,1741,1666,NA,930,627,1476,0.425,179,536,0.334,308,412,0.748,258,923,288,132,56,242,410,2019-2020
30,Bradley,24,15,9,0.625,5.48,0.35,6,5,12,1,2,7,1707,1556,NA,960,606,1391,0.436,169,450,0.376,326,443,0.736,280,935,334,118,94,301,401,2019-2020
31,Brigham Young,24,17,7,0.708,16.38,6.94,6,3,11,1,2,5,1917,1665,NA,975,720,1424,0.506,253,596,0.424,224,315,0.711,149,785,417,131,45,267,392,2019-2020
32,Brown,17,9,8,0.529,-3.71,-0.65,2,2,8,2,1,6,1173,1196,NA,680,409,997,0.41,125,389,0.321,230,330,0.697,224,681,224,112,81,281,296,2019-2020
33,Bryant,23,11,12,0.478,-4.84,-5.11,3,7,7,4,4,8,1640,1585,NA,925,582,1388,0.419,209,644,0.325,267,391,0.683,257,891,323,172,101,338,444,2019-2020
34,Bucknell,24,9,15,0.375,-7.75,-2.71,5,6,6,4,2,9,1642,1763,NA,960,579,1381,0.419,193,567,0.34,291,403,0.722,215,782,287,171,88,329,457,2019-2020
35,Buffalo,23,14,9,0.609,1.25,-0.29,5,5,7,5,4,3,1808,1737,NA,920,673,1540,0.437,189,584,0.324,273,414,0.659,346,974,358,188,110,329,420,2019-2020
36,Butler,23,18,5,0.783,16.23,7.41,6,4,11,2,4,3,1596,1393,NA,925,576,1230,0.468,153,439,0.349,291,398,0.731,196,811,297,111,61,263,387,2019-2020
37,Cal Poly,22,6,16,0.273,-10.21,0.69,3,5,6,3,0,11,1447,1618,NA,885,509,1208,0.421,141,412,0.342,288,424,0.679,171,702,216,141,55,310,438,2019-2020
38,Cal State Bakersfield,23,10,13,0.435,-5.51,-1.56,4,4,7,5,3,8,1625,1584,NA,945,601,1369,0.439,123,372,0.331,300,432,0.694,309,884,283,152,69,320,508,2019-2020
