Team,season,Total3P
Abilene Christian Wildcats,2014-2015,610
Abilene Christian Wildcats,2015-2016,570
Abilene Christian Wildcats,2016-2017,550
Abilene Christian Wildcats,2017-2018,656
Abilene Christian Wildcats,2018-2019,660
Air Force Falcons,2014-2015,625
Air Force Falcons,2015-2016,596
Air Force Falcons,2016-2017,728
Air Force Falcons,2017-2018,755
Air Force Falcons,2018-2019,712
Akron Zips,2014-2015,937
Akron Zips,2015-2016,1069
Akron Zips,2016-2017,984
Akron Zips,2017-2018,851
Akron Zips,2018-2019,929
Alabama A&M Bulldogs,2014-2015,577
Alabama A&M Bulldogs,2015-2016,599
Alabama A&M Bulldogs,2016-2017,447
Alabama A&M Bulldogs,2017-2018,601
Alabama A&M Bulldogs,2018-2019,575
Alabama Crimson Tide,2014-2015,697
Alabama Crimson Tide,2015-2016,763
Alabama Crimson Tide,2016-2017,710
Alabama Crimson Tide,2017-2018,702
Alabama Crimson Tide,2018-2019,718
Alabama State Hornets,2014-2015,480
Alabama State Hornets,2015-2016,647
Alabama State Hornets,2016-2017,674
Alabama State Hornets,2017-2018,638
Alabama State Hornets,2018-2019,674
Alabama-Birmingham Blazers,2014-2015,607
Alabama-Birmingham Blazers,2015-2016,671
Alabama-Birmingham Blazers,2016-2017,583
Alabama-Birmingham Blazers,2017-2018,646
Alabama-Birmingham Blazers,2018-2019,694
Albany (NY) Great Danes,2014-2015,572
Albany (NY) Great Danes,2015-2016,587
Albany (NY) Great Danes,2016-2017,516
Albany (NY) Great Danes,2017-2018,502
Albany (NY) Great Danes,2018-2019,790
Alcorn State Braves,2014-2015,553
Alcorn State Braves,2015-2016,566
Alcorn State Braves,2016-2017,669
Alcorn State Braves,2017-2018,697
Alcorn State Braves,2018-2019,646
American Eagles,2014-2015,571
American Eagles,2015-2016,572
American Eagles,2016-2017,529
American Eagles,2017-2018,709
American Eagles,2018-2019,583
Appalachian State Mountaineers,2014-2015,588
Appalachian State Mountaineers,2015-2016,720
Appalachian State Mountaineers,2016-2017,742
Appalachian State Mountaineers,2017-2018,859
Appalachian State Mountaineers,2018-2019,814
Arizona State Sun Devils,2014-2015,660
Arizona State Sun Devils,2015-2016,757
Arizona State Sun Devils,2016-2017,896
Arizona State Sun Devils,2017-2018,793
Arizona State Sun Devils,2018-2019,714
Arizona Wildcats,2014-2015,536
Arizona Wildcats,2015-2016,580
Arizona Wildcats,2016-2017,625
Arizona Wildcats,2017-2018,642
Arizona Wildcats,2018-2019,699
Arkansas Razorbacks,2014-2015,681
Arkansas Razorbacks,2015-2016,544
Arkansas Razorbacks,2016-2017,638
Arkansas Razorbacks,2017-2018,681
Arkansas Razorbacks,2018-2019,751
Arkansas State Red Wolves,2014-2015,514
Arkansas State Red Wolves,2015-2016,570
Arkansas State Red Wolves,2016-2017,579
Arkansas State Red Wolves,2017-2018,695
Arkansas State Red Wolves,2018-2019,709
